,min,max
Nikkei - Low %,-0.14104497530620774,0.10673778433017089
Nikkei - Open %,-0.0980426945827284,0.11686091005630717
HanSeng Index - Close %,-0.13700441770292282,0.1882360004561654
HanSeng Index - High %,-0.11495640742819502,0.15593256969958946
HanSeng Index - Low %,-0.16077777937212445,0.15435448775399419
HanSeng Index - Open %,-0.11495640742819502,0.14817059291139767
Kospi - Close %,-0.13641889315938094,0.11945674633859604
Kospi - High %,-0.09316840503445367,0.11124924898709376
Kospi - Low %,-0.12946656036604076,0.11128655826372813
Kospi - Open %,-0.10878864961263757,0.14247696827316791
ASX 200 - Close %,-0.09699778376913681,0.07000660970522521
ASX 200 - High %,-0.06786233669604202,0.060983548952984856
ASX 200 - Low %,-0.079533318721001,0.08157417968579317
ASX 200 - Open %,-0.09699778376913681,0.07000660970522521
FTSE 100 - Close %,-0.10873819450353106,0.09838667019307068
FTSE 100 - High %,-0.07159439344430618,0.06684748489739123
FTSE 100 - Low %,-0.10635063906959963,0.08501417227812835
FTSE 100 - Open %,-0.10873819450353106,0.09838667019307068
DAX - Close %,-0.1223861487212149,0.1140195387281937
DAX - High %,-0.10200844994004143,0.0877679355214176
DAX - Low %,-0.12496326844165406,0.10941971859671318
DAX - Open %,-0.09860261536035919,0.10622964035327342
CAC 40 - Close %,-0.12276774366560927,0.1117617278370302
CAC 40 - High %,-0.10735579755839009,0.07798524567548704
CAC 40 - Low %,-0.1253864147899565,0.10234345407196965
CAC 40 - Open %,-0.11834802111218945,0.1266895299576356
FTSE MIB - Close %,-0.16927882202019073,0.11487517849229412
FTSE MIB - High %,-0.11356291095508753,0.07926012721794451
FTSE MIB - Low %,-0.15734087694483734,0.12256280919584839
FTSE MIB - Open %,-0.14421660813413395,0.12880607050235326
STOXX 600 - Close %,-0.11477629801833145,0.09866908668937913
STOXX 600 - High %,-0.0824604420805386,0.06246950187208533
STOXX 600 - Low %,-0.114187688335316,0.1137188819564845
STOXX 600 - Open %,-0.09165191948190654,0.10065215613752576
Petróleo WTI - Close %,-3.059660652724544,0.37662331847024166
Petróleo WTI - High %,-0.24795169761015556,0.2709976964892218
Petróleo WTI - Low %,-3.3292894823107457,0.3011695987968461
Petróleo WTI - Open %,-1.9371428489685059,0.23101274400866978
Petróleo Brent - Close %,-0.2440359736250307,0.21018596649341958
Petróleo Brent - High %,-0.22189170253803314,0.24095918941968253
Petróleo Brent - Low %,-0.30969263053220364,0.2537499666213989
Petróleo Brent - Open %,-0.24653312188898646,0.1860935714874763
Minério de Ferro - Close %,-0.1982374966754099,0.16810579616750987
Minério de Ferro - High %,-0.1982374966754099,0.16810589558490707
Minério de Ferro - Low %,-0.1982374966754099,0.16810579616750987
Minério de Ferro - Open %,-0.1982374966754099,0.16810579616750987
Bitcoin - Close %,-0.37169538560117077,0.2524716942763181
Bitcoin - High %,-0.26371179450736293,0.3173965853111489
Bitcoin - Low %,-0.3640621166741628,0.23745558459137817
Bitcoin - Open %,-0.36592438640727887,0.2769297358183582
PIB %,-0.07294205634977069,0.19462655327134293
IPCA %,-23.0,24.0
INPC %,-19.5,18.0
Meta Selic %,-0.3670886075949368,12.10344827586207
Taxa acumulada no período %,-0.8238993710691824,4.733333333333333
ASX 200 - Spread %,-1.0,9.487219080608476
Bitcoin - Spread %,-0.8947315551995189,14.731148758412624
CAC 40 - Spread %,-0.8194223945121547,7.184434029257208
DAX - Spread %,-0.8541691971334872,8.970974130461691
Dow Jones - Spread %,-0.81904257113258,6.655461562941746
Dólar - Spread %,-1.0,913.7571428571429
FTSE 100 - Spread %,-0.8609430859747476,9.4804211409716
FTSE MIB - Spread %,-1.0,9.192857142857143
HanSeng Index - Spread %,-1.0,9.150743744308079
IBOVESPA - Spread %,-0.9918487149351094,82.36985047299359
Kospi - Spread %,-0.8050156390744213,9.2933398006673
Minério de Ferro - Spread %,-1.0,93.99790196452413
Nasdaq - Spread %,-0.8327717819393524,7.844467387343617
Nikkei - Spread %,-1.0,10.323576866838097
Petróleo Brent - Spread %,-55.7486172038909,71.49837879074325
Petróleo WTI - Spread %,-0.9764700602497504,41.99904634751097
S&P 500 - Spread %,-0.7992576316550926,8.020798957881025
STOXX 600 - Spread %,-1.0,9.74219774455808
Shanghai SE - Spread %,-0.9930119375735436,57.40171155298263
