loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0.03482828289270401,0.03482828289270401,34980.75,0.0036000229883939028,0.06000019237399101,0.013507903553545475,0.013507903553545475,4.114274978637695,0.000296116282697767,0.017208030447363853
0.02984043024480343,0.02984043024480343,41479.921875,0.0019377735443413258,0.0440201498568058,0.012439592741429806,0.012439592741429806,3.839655876159668,0.00025332989753223956,0.015916340053081512
0.029468758031725883,0.029468758031725883,41452.90625,0.0019178272923454642,0.043793004006147385,0.013057987205684185,0.013057987205684185,3.992933750152588,0.00027623531059361994,0.016620328649878502
0.029256148263812065,0.029256148263812065,41855.58984375,0.0018955388804897666,0.04353778809309006,0.013062040321528912,0.013062040321528912,3.9940860271453857,0.0002762153453659266,0.0166197270154953
0.029190758243203163,0.029190758243203163,41618.3203125,0.00189099065028131,0.04348552227020264,0.012722151353955269,0.012722151353955269,3.9057953357696533,0.00026307706139050424,0.016219651326537132
0.029086338356137276,0.029086338356137276,42274.63671875,0.0018762282561510801,0.043315451592206955,0.012612596154212952,0.012612596154212952,3.8791542053222656,0.0002589223731774837,0.016091065481305122
0.029041321948170662,0.029041321948170662,42724.47265625,0.0018728794530034065,0.04327677562832832,0.012468481436371803,0.012468481436371803,3.846447706222534,0.0002538937551435083,0.015934044495224953
0.02902861125767231,0.02902861125767231,42860.078125,0.001869669882580638,0.04323967918753624,0.012584704905748367,0.012584704905748367,3.872588634490967,0.00025793813983909786,0.01606045290827751
0.02902931161224842,0.02902931161224842,42908.90625,0.001869869651272893,0.043241988867521286,0.012440567836165428,0.012440567836165428,3.841250419616699,0.000252880941843614,0.015902230516076088
0.02904050052165985,0.02904050052165985,43113.0,0.001870431238785386,0.043248482048511505,0.012606283649802208,0.012606283649802208,3.877840280532837,0.0002586742921266705,0.016083354130387306
0.02901623770594597,0.02901623770594597,43185.55078125,0.0018712664023041725,0.04325813800096512,0.012506465427577496,0.012506465427577496,3.854914665222168,0.0002551381476223469,0.01597304455935955
0.02908998355269432,0.02908998355269432,43253.0390625,0.0018754256889224052,0.04330618679523468,0.012443159706890583,0.012443159706890583,3.8419039249420166,0.00025294043007306755,0.015904100611805916
